TIGHT n=18 m=140 tag=perturb g6=Q~~~~~~^|~x}z~|~~^~z~~n~nVw t=8.8s
TIGHT n=18 m=105 tag=perturb g6=Q~h}vyP~|vmMzschvy~jbwe||Zo t=0.2s
TIGHT n=18 m=119 tag=perturb g6=Q~~v~^v]lzxGY~|~m]~f^yn~lVW t=0.3s
TIGHT n=18 m=106 tag=perturb g6=QjI~|{~^{nwVi]PVny|w|ss^z\w t=0.9s
TIGHT n=18 m=114 tag=perturb g6=QlZG~N~n}avjBn|^~^zp|mn}z^w t=0.7s
TIGHT n=18 m=119 tag=perturb g6=Qz~~~~~]lziHx~|lNuv~^Nv}hVW t=1.8s
TIGHT n=18 m=114 tag=perturb g6=Q~~~~~~Y|zpOzv|VvYny^~Er{V? t=0.9s
TIGHT n=18 m=110 tag=perturb g6=Q~^~~~z^xzi@X~wlNuf~^K{uhVW t=1.8s
TIGHT n=18 m=111 tag=perturb g6=Qn^{vzsV{Px}z~xvn^xu^mRunNo t=0.8s
TIGHT n=18 m=109 tag=perturb g6=Q~n~|sv^t~n~z^PVjpng|ca~jJO t=0.8s
TIGHT n=18 m=108 tag=perturb g6=Qrn^l}vN{}nAq^S\nzng|aq~^~w t=0.9s
TIGHT n=18 m=118 tag=perturb g6=Q~^}V~{~{~z}v}|^H^xQ^~RuvNo t=0.7s
TIGHT n=18 m=97 tag=perturb g6=Q~flt{RO|~n~r^PNNpl_{ke~jI? t=1.3s
TIGHT n=18 m=113 tag=perturb g6=Qvn~\{V^t~bvz^Pznxeg\ku~~^w t=2.3s
TIGHT n=18 m=116 tag=perturb g6=Q|zw}^~n}avzBn|~~^yR\mymz^w t=0.8s
TIGHT n=18 m=111 tag=perturb g6=Q|\~~tvNtmn~vvf~nZnaLW^ULdw t=1.8s
TIGHT n=18 m=107 tag=perturb g6=Qz^ZF}{v]N}{j}~TN|Wa^vRznKw t=1.4s
TIGHT n=18 m=105 tag=perturb g6=Qljw~i~^vn_z`fx~Z^zd|~jqpY_ t=0.5s
TIGHT n=18 m=108 tag=perturb g6=Qa~zv|{M{~g~Hz|rzzlrzFvwlRw t=0.2s
TIGHT n=18 m=117 tag=perturb g6=Qz~^v{g]{|x}y|L~^^|rZ~~km^w t=0.8s
TIGHT n=18 m=102 tag=perturb g6=Q~h}vyP~|vmIzsc_vy~jbwe||Zo t=0.3s
TIGHT n=18 m=116 tag=perturb g6=Q~~v~^v]lzxGY~|~M]~fXyn~lVW t=1.6s
TIGHT n=18 m=123 tag=perturb g6=Qv~y~~~UlzxGb~|~~]~z}^vznVw t=2.6s
TIGHT n=18 m=100 tag=perturb g6=Qlhw~i~Jvn_z`f\~Z^zd|NjotY_ t=0.5s
TIGHT n=18 m=103 tag=perturb g6=Qd^GVzw^x`fnjnd|vBxP|jn}n^w t=1.2s
TIGHT n=18 m=120 tag=perturb g6=Qvvy~~~UkjxGb~|~~]~z}^vznVw t=0.9s
TIGHT n=18 m=107 tag=perturb g6=Q[~^~u{Zczb^jjH\zZ|qr^vy{uw t=0.3s
TIGHT n=18 m=108 tag=perturb g6=QJ~^vd`}c|x}y|Dv^^|rz]vgm^w t=1.7s
TIGHT n=18 m=118 tag=perturb g6=Qgzz~~}Js~x~z}{zzZ|rz^vytVw t=1.0s
TIGHT n=18 m=122 tag=perturb g6=Q~f~~\v^t~Dvr~ttzzmz|{e~~^w t=1.9s
TIGHT n=18 m=117 tag=perturb g6=Q^^~~~tv[|x}hz|~n{lu^~RufN_ t=0.6s
TIGHT n=18 m=107 tag=perturb g6=Q{zx}I~^~nojjF^vZ^xd|~fsJwg t=0.3s
TIGHT n=18 m=118 tag=perturb g6=QsyZvz~^~~fnxe[\t~rF|~n~fzw t=2.1s
TIGHT n=18 m=111 tag=perturb g6=Q|Zw}\~neavzBn|~~~yR\liez^w t=0.8s
TIGHT n=18 m=119 tag=perturb g6=Q~jv~|vJ^^f}z~s~~X~jnwe~xZo t=4.6s
TIGHT n=18 m=101 tag=perturb g6=QvN~{_~V|sFrzzS^nR`wkdqyzvw t=1.7s
TIGHT n=18 m=108 tag=perturb g6=Q~~zp\fVl^d[~]T^mzLg~_qn~^w t=0.2s
TIGHT n=18 m=108 tag=perturb g6=Q~^~fn{fGnX{z~\~n^xuNnDumQ_ t=0.9s
TIGHT n=18 m=98 tag=perturb g6=Qlho~i~Jvn_~`f^~Z^rksNjotY_ t=0.5s
TIGHT n=18 m=112 tag=perturb g6=Q~^~bzcV[|omrz|~~^[unnru{^o t=1.2s
TIGHT n=18 m=104 tag=perturb g6=Qtnv{grFtuNv}zS^nrfg|cq}zvw t=0.3s
TIGHT n=18 m=103 tag=perturb g6=Q~[xfzyv[tgapz|~n^|v~lQVCN_ t=0.8s
TIGHT n=18 m=100 tag=perturb g6=Qd^?TXL^|qfnjnd|~BjP|jnZN^w t=0.4s
TIGHT n=18 m=121 tag=perturb g6=Q}n~}\V^|~bzz~dz~xljx{e~~^w t=1.7s
TIGHT n=18 m=118 tag=perturb g6=QV~|~~~]lzhHrvv|vY~z]tVnnVw t=0.9s
TIGHT n=18 m=109 tag=perturb g6=Q~zz~Kvf|~ntztt]nzhh|u?Y|No t=0.8s
TIGHT n=18 m=114 tag=perturb g6=Q|~p~ln^zFqFjn{N~VZp|~n}jVw t=0.3s
TIGHT n=18 m=117 tag=perturb g6=Qi~zV~k^{~jnz}|nz^trz^vw{Rw t=1.7s
TIGHT n=18 m=112 tag=perturb g6=Q~]xfz}|[t|{x~|~m]{vnnRVFN_ t=0.8s
TIGHT n=18 m=102 tag=perturb g6=Q?^zv|{M{~g~HzxrzzlrzFvwdQw t=0.2s
TIGHT n=18 m=114 tag=perturb g6=Q|Rx~~~^^frfr}w^~VXpt^Z}jVw t=1.7s
TIGHT n=18 m=125 tag=perturb g6=Q~z~~n~]|^xEz~|}~E~~^~n~kUW t=2.0s
TIGHT n=18 m=107 tag=perturb g6=Q|yx~y}~~bvmJntZp]xdV~n}@Gw t=0.3s
TIGHT n=18 m=118 tag=perturb g6=Q~^vn~[vW~X}z~^^n^xv^~VqNMo t=1.8s
TIGHT n=18 m=114 tag=perturb g6=Q~jv~|vJ^\f}z~s~~Pvjnwe~xQo t=1.7s
TIGHT n=18 m=113 tag=perturb g6=Q~n]~|RNw~v~y]t^NZ~aL\E}~vo t=1.7s
TIGHT n=18 m=108 tag=perturb g6=Qvn|D{v^|}Nqz^E\nzlg|_qz~^w t=0.7s
TIGHT n=18 m=122 tag=perturb g6=Q~jv~|v^|~fmj~s^^z~jngf~~Zo t=3.2s
TIGHT n=18 m=97 tag=perturb g6=Q|jq~|PjxFF}zsszsz~j_g?|~Ro t=1.1s
TIGHT n=18 m=116 tag=perturb g6=Qzl~~|vNt~f~J~p~nZ~aL|E~|Ew t=1.6s
TIGHT n=18 m=114 tag=perturb g6=Qxzy~zQ^}~vnJnx|VJzsk}m}z^w t=0.6s
TIGHT n=18 m=107 tag=perturb g6=Q~A~x{v^|nwVi[T^ny|yx{u\zTw t=0.7s
TIGHT n=18 m=110 tag=perturb g6=Qm~|jZsV]~omRz~~\ZW}nnru{^o t=0.8s
TIGHT n=18 m=104 tag=perturb g6=Q|yxzy~~~bvmJnTBp]xdV~n}?Hw t=0.7s
TIGHT n=18 m=111 tag=perturb g6=Q~l~vSvNtnf~zzp^nY|qG|E}|vw t=0.9s
TIGHT n=18 m=119 tag=perturb g6=Qz}~~~~}|ziHX||lL~r^^nvvlVW t=0.8s
TIGHT n=18 m=119 tag=perturb g6=Q~l~|{v^x~NvyZT^nzng|ku~~^w t=2.5s
TIGHT n=18 m=120 tag=perturb g6=Q~~z~~{^[~x~z]|~zJ|rz^rYhVW t=1.8s
TIGHT n=18 m=106 tag=perturb g6=Q|\~~svNtmn~vvFvnZhaLW^ULdw t=0.3s
TIGHT n=18 m=95 tag=perturb g6=Q~zwZPzbuaueEh\^~^wPTmigu^w t=0.6s
TIGHT n=18 m=109 tag=perturb g6=QfZYVnz^wdfnjnl\vZxP|jn}z^w t=1.7s
TIGHT n=18 m=105 tag=perturb g6=Q~\tn{[FW~Qgz~{^n^xU|~VqNMo t=0.3s
TIGHT n=18 m=113 tag=perturb g6=Q~\nj|tN|mfzz~d||R~b\[Fu|vw t=1.8s
TIGHT n=18 m=116 tag=perturb g6=Qxzx^z~^~njmjnhN~^zp|znyzQg t=2.5s
TIGHT n=18 m=114 tag=perturb g6=Q|zwn^~juaujBn|~~Rzpvmn}z^w t=0.8s
TIGHT n=18 m=107 tag=perturb g6=Q~}x~y}~~bvmHntZp]jdU~n}@Gw t=0.3s
TIGHT n=18 m=112 tag=perturb g6=Q|ir||vN|Vf}zyun}z~hmwe|{^o t=0.9s
TIGHT n=18 m=110 tag=perturb g6=Q~\vn}[vW~RkzvMzn^xv^ZVRNMw t=1.0s
TIGHT n=18 m=115 tag=perturb g6=Q{~~j~|^[~x}b^~vzJlr}^rYh\W t=1.7s
TIGHT n=18 m=98 tag=perturb g6=QfN~{_~V|sFrRzS^nR`wkdqyzvw t=0.2s
TIGHT n=18 m=110 tag=perturb g6=Qz|^t{kMw|X}y|\|fUxr^~v{m^w t=4.7s
TIGHT n=18 m=112 tag=perturb g6=Q~rx~~~^ZFrfb~W^f^Zr{^Z}bUw t=2.4s
TIGHT n=18 m=113 tag=perturb g6=Q^j~l{vn|zjvz^TYnzmg\ku~nVw t=0.8s
TIGHT n=18 m=108 tag=perturb g6=Q^Jnf~WtS~Wyz~^zm]xu^vRunMw t=0.9s
TIGHT n=18 m=119 tag=perturb g6=Q~n~^xv^tZf~rltPzznj|{e~~^w t=2.0s
TIGHT n=18 m=107 tag=perturb g6=Q[~^~u|Zczb^jzH\zZ|qr~vW{Uw t=0.5s
TIGHT n=18 m=106 tag=perturb g6=Qvzyv|X^kuemzst~~z~hBwe|xYo t=0.8s
TIGHT n=18 m=96 tag=perturb g6=QzV~V}YsOnbYr}|TJ{zvINPe~M? t=0.2s
TIGHT n=18 m=108 tag=perturb g6=Qm~|jZsV]~oMQz~}|ZW}nnru{^o t=0.5s
TIGHT n=18 m=106 tag=perturb g6=Qzn~\}VRs^|uz]T]fj~G}kps^~G t=0.5s
TIGHT n=18 m=132 tag=perturb g6=Q~~n~~~]|zxM}~|~~]~~^~n~lVW t=2.6s
TIGHT n=18 m=106 tag=perturb g6=Q~jy|tR^|qmnzSs~yq~jbYU~^Xo t=0.6s
TIGHT n=18 m=109 tag=perturb g6=Q^Y|fJ{U[tx}j~|~n^xu^}RUnNo t=0.5s
TIGHT n=18 m=107 tag=perturb g6=Q^n~~~~Y|zoOzv{VvYny^~E`wRG t=0.3s
TIGHT n=18 m=103 tag=perturb g6=Q~~zxXfTl^cE~]T^mJLg~_qn~^w t=0.8s
TIGHT n=18 m=111 tag=perturb g6=Q|^~J~{vwvP{z~\\n^xu^\VueMw t=0.7s
TIGHT n=18 m=110 tag=perturb g6=Qz|^tsLIwtx~v|\|fvHr^~v{m^w t=1.6s
TIGHT n=18 m=122 tag=perturb g6=Q~L~~|vN|~f~z~t~nZ~aL^E}|vw t=2.1s
TIGHT n=18 m=116 tag=perturb g6=Q|]|dZ{v[tx}z~|~n\xu^~V}nNo t=0.7s
TIGHT n=18 m=96 tag=perturb g6=Qtnr{gvF|qNq]rS^nrf`hcq}zLw t=0.3s
TIGHT n=18 m=103 tag=perturb g6=QfZYVnjPwvFnh~dTvYxB|j~uz^w t=0.2s
TIGHT n=18 m=118 tag=perturb g6=Qi~|vyw^{~xfz}|~jz|rz^vylVw t=1.8s
TIGHT n=18 m=116 tag=perturb g6=Q~~v~^v]lzxGY~|~m]|f^jn~hVG t=0.6s
TIGHT n=18 m=109 tag=perturb g6=Q~Nrz|v}xxfny\ol^j~hmwe||Zo t=0.3s
TIGHT n=18 m=105 tag=perturb g6=Q~jpl|v^p~e}JVs^~p~jfgc||Y_ t=1.5s
TIGHT n=18 m=116 tag=perturb g6=Qvv}|~~Ukjh?b~|~~]~z}^vylVw t=0.4s
TIGHT n=18 m=106 tag=perturb g6=Qzyv~~~]LziHxnx\LQr]ZnrflVW t=0.8s
TIGHT n=18 m=107 tag=perturb g6=Q^j~l{fn|zjvzRTYnzmG\kqznVw t=0.3s
TIGHT n=18 m=115 tag=perturb g6=QU~|~~~]lIhHrvt|rZ~z]t^~nVw t=0.9s
TIGHT n=18 m=128 tag=perturb g6=Q^^~~~~Nl~zyY~|~~^zx~wnznvg t=2.3s
TIGHT n=18 m=109 tag=perturb g6=Q~n}~|RFw~u^y]t^NZ~qN]E}reo t=1.0s
TIGHT n=18 m=107 tag=perturb g6=QU~|~n\]lIhDz~t\r^uw[|^neVw t=0.8s
TIGHT n=18 m=118 tag=perturb g6=Q~xn~|vN|mv~n~f~lZzbLkFu|vw t=1.8s
TIGHT n=18 m=116 tag=perturb g6=Qizz~}}^s~x~r}{ZzZ|rz^^JTVw t=2.0s
TIGHT n=18 m=116 tag=perturb g6=Q~^zm^xvX^X}z~\v~~xq\~nqjMg t=1.7s
TIGHT n=18 m=118 tag=perturb g6=Qz^~b\{v[^x}~||~~]xu^~XunNo t=1.9s
TIGHT n=18 m=105 tag=perturb g6=Q|\~~stMTmn~vvFvn~haLW^ULdw t=2.1s
TIGHT n=18 m=117 tag=perturb g6=Qzf~~kuNt~E~t~|sizny|{e~~nw t=2.0s
TIGHT n=18 m=121 tag=perturb g6=Q~\~~~~]|~XGz~|mu}\x]~v~kVw t=1.8s
TIGHT n=18 m=97 tag=perturb g6=QdmvwgqFtvNt]y[Znrfg|co|~vo t=0.2s
TIGHT n=18 m=124 tag=perturb g6=Q~~n~~Vu\z|Ns^|~~]y~n~n~LTW t=1.9s
TIGHT n=18 m=109 tag=perturb g6=Q~zw~|~ryAumFlh^~^yPtmjzr^w t=0.2s
TIGHT n=18 m=108 tag=perturb g6=Qzjx~|~vZaumFl|^~^wTtkJwr^w t=1.6s
TIGHT n=18 m=106 tag=perturb g6=Q{Rx~~~^^fRfv}wZnVHpt^XkJVw t=1.4s
TIGHT n=18 m=118 tag=perturb g6=Q|zw~^~n}avzFn|~~^zR|mmmj\w t=1.9s
TIGHT n=18 m=108 tag=perturb g6=Q{~~j~|]S~Xwb^~vzJlr}]pYh\W t=1.7s
TIGHT n=18 m=105 tag=perturb g6=Q~Z[~}zzsaUmfll^^^y@tmJ|rNw t=0.7s
TIGHT n=18 m=104 tag=perturb g6=Q{ih|kvf|~ntz^t]hzhg|oaz~Ng t=0.5s
TIGHT n=18 m=108 tag=perturb g6=Q|zW~~R^}Mrnjlx^NI~_l~luzVW t=0.8s
TIGHT n=18 m=106 tag=perturb g6=Q~jo~|T^|vf}Z{svRj~fboU^{zO t=1.7s
TIGHT n=18 m=114 tag=perturb g6=Qz}~~~~}|ziGX{|lL~B^VnVrn^W t=0.8s
TIGHT n=18 m=132 tag=perturb g6=Qx~}~~v^x~zzzyl|}Z}~~~n~~nw t=2.4s
TIGHT n=18 m=110 tag=perturb g6=Q~~x^nv]lz_Lx~|lNutxVZv}hVW t=0.7s
TIGHT n=18 m=107 tag=perturb g6=Q[~N~}|Zczb^jjHTzZ|qr^vykvw t=0.5s
TIGHT n=18 m=106 tag=perturb g6=Qvm~[cV^t~avz^HznpEg\ku~~^w t=0.3s
TIGHT n=18 m=113 tag=perturb g6=Q{iX~}~^~mPgjn|^^^xdl~n}x{w t=2.8s
TIGHT n=18 m=107 tag=perturb g6=Qvzyv|X^kuemjst~~z~hNgf|xYo t=1.2s
TIGHT n=18 m=122 tag=perturb g6=Qv~~~~~]lxxGblxv~]~z]z~~nVw t=1.0s
TIGHT n=18 m=115 tag=perturb g6=Q~zv~^v]lzxG[~|~m]|f^jn~hVG t=0.7s
TIGHT n=18 m=118 tag=perturb g6=Q|zz~v~^~frfjnx^~VXP|~n}wUw t=2.9s
TIGHT n=18 m=115 tag=perturb g6=Q^Y~~~zND~zyY~~~y\xL]onjnvg t=1.8s
TIGHT n=18 m=129 tag=perturb g6=Qp~}{~v^x~zzzyl|}Z}~~~n~~nw t=1.0s
TIGHT n=18 m=111 tag=perturb g6=QV^^|~tv[|x}gz|~n{lu^~BUfN_ t=1.7s
TIGHT n=18 m=109 tag=perturb g6=Q~Uzfx}v[t|{xV|~n^|VzDRuVN_ t=0.8s
TIGHT n=18 m=113 tag=perturb g6=Qzf}~kuNu~E~t~|sizly|{e~|ng t=0.9s
TIGHT n=18 m=103 tag=perturb g6=QVV^x~tv[|{}gj~~b{ku\LBufN_ t=1.0s
TIGHT n=18 m=112 tag=perturb g6=Q~|Mv}gN{|x}qtl~N^~zW^^km^w t=1.5s
TIGHT n=18 m=104 tag=perturb g6=Q~h}vyP~|vmMzscjvy~jbwcl|Zo t=0.2s
TIGHT n=18 m=106 tag=perturb g6=Q~Nu}~v}wxfny\Olzm~hmweT|Zo t=0.7s
TIGHT n=18 m=111 tag=perturb g6=Qz}~^~~}|zihX|pLL^R^\nvvLVG t=0.3s
TIGHT n=18 m=110 tag=perturb g6=Q|Rx~~~^^frfbyy^}VJpZ^YyjVw t=0.9s
TIGHT n=18 m=100 tag=perturb g6=Q~~zHXfTlNcE~]T^mJLg~con~^w t=0.2s
